sr_id,customer_id,product_id,sr_description,sr_open_date,sr_close_date,sr_type,channel,sr_cust_feedback,Feedback type,"Feedback Severity (Low, Medium, High)"
2135,247,2768,Private Car Insurance motor insurance Enquiry,6/11/2017 0:00,6/11/2017 0:00,Enquiry,Phone Banking,satisfied with the customer support ,,
1207,247,4664,SavingsMax Account savings account Product Support,6/11/2017 0:00,6/11/2017 0:00,Product Support,Net Banking,satisfied with the customer support ,,
23,247,4410,Foreign Education Loan educational loan Complaint,6/11/2017 0:00,6/11/2017 0:00,Complaint,Phone Banking,Issue resolved,,
233,802,2531,Secure Personal Loan Personal Loan Complaint,6/9/2017 0:00,6/10/2017 0:00,Complaint,Phone Banking,Average service. Need quicker resolution to my problem,,
284,802,447,SavingsMax Account savings account Product Support,6/9/2017 0:00,6/10/2017 0:00,Product Support,Phone Banking,Average service. Need quicker resolution to my problem,,
2627,644,2801,National Life Cancer Care life insurance Complaint,6/8/2017 0:00,6/8/2017 0:00,Complaint,Phone Banking,Happy with the service,,
609,644,4839,National Home Loan home loan Product Support,6/8/2017 0:00,6/8/2017 0:00,Product Support,Branch,satisfied with the customer support ,,
2450,644,1965,Secure Personal Loan Personal Loan Product Support,6/8/2017 0:00,6/8/2017 0:00,Product Support,Phone Banking,satisfied with the customer support ,,
876,644,1965,Secure Personal Loan Personal Loan Complaint,6/8/2017 0:00,6/8/2017 0:00,Complaint,Branch,Happy with the service,,
2516,644,1098,Secure Personal Loan Personal Loan Product Support,6/8/2017 0:00,6/8/2017 0:00,Product Support,Phone Banking,satisfied with the customer support ,,
2127,644,1098,Secure Personal Loan Personal Loan Enquiry,6/8/2017 0:00,6/8/2017 0:00,Enquiry,Branch,satisfied with the customer support ,,
1020,26,4219,Regular Fixed Deposit fixed deposit Complaint,10/21/2016 0:00,10/21/2016 0:00,Complaint,Branch,the complaint was addressed in timely manner to my satisfaction,,
2531,34,296,SavingsMax Account savings account Complaint,6/5/2017 0:00,6/5/2017 0:00,Complaint,Phone Banking,the complaint was addressed in timely manner to my satisfaction,,
385,34,296,SavingsMax Account savings account Product Support,6/5/2017 0:00,6/5/2017 0:00,Product Support,Net Banking,satisfied with the customer support ,,
1557,34,202,Individual Personal Accident Plan health insurance Product Support,6/5/2017 0:00,6/5/2017 0:00,Product Support,Branch,satisfied with the customer support ,,
906,34,202,Individual Personal Accident Plan health insurance Enquiry,6/5/2017 0:00,6/5/2017 0:00,Enquiry,Branch,satisfied with the customer support ,,
445,28,1213,Sweep In Facility fixed deposit Complaint,4/3/2016 0:00,4/3/2016 0:00,Complaint,Net Banking,the complaint was addressed in timely manner to my satisfaction,,
280,28,1213,Sweep In Facility fixed deposit Product Support,2/17/2017 0:00,2/17/2017 0:00,Product Support,Net Banking,satisfied with the customer support ,,
545,88,1695,SavingsMax Account current account Enquiry,6/1/2017 0:00,6/1/2017 0:00,Enquiry,Phone Banking,satisfied with the customer support ,,
926,126,4543,Private Car Insurance motor insurance Complaint,6/1/2017 0:00,6/1/2017 0:00,Complaint,Phone Banking,Relationship manager was prompt. Addressed the issue and reverted the service charges,,
262,126,647,SavingsMax Account savings account Complaint,6/1/2017 0:00,6/1/2017 0:00,Complaint,Net Banking,Relationship manager was prompt. Addressed the issue and reverted the service charges,,
1768,126,2117,Private Car Insurance motor insurance Product Support,6/1/2017 0:00,6/1/2017 0:00,Product Support,Net Banking,satisfied with the customer support ,,
2256,194,876,Foreign Education Loan educational loan Enquiry,5/30/2017 0:00,5/30/2017 0:00,Enquiry,Branch,satisfied with the customer support ,,
589,194,3370,Individual Personal Accident Plan health insurance Complaint,5/30/2017 0:00,5/30/2017 0:00,Complaint,Net Banking,quick turnaround in addressing the complaint. Happy with the customer service,,
2791,194,607,Individual Personal Accident Plan health insurance Product Support,5/30/2017 0:00,5/30/2017 0:00,Product Support,Net Banking,satisfied with the customer support ,,
2812,846,4103,National Home Loan home loan Complaint,5/30/2017 0:00,5/31/2017 0:00,Complaint,Net Banking,Average service. Need quicker resolution to my problem,,
2389,846,4103,National Home Loan home loan Enquiry,5/30/2017 0:00,5/31/2017 0:00,Enquiry,Net Banking,Average service. Need quicker resolution to my problem,,
2067,846,4103,National Home Loan home loan Product Support,5/30/2017 0:00,5/31/2017 0:00,Product Support,Branch,Average service. Need quicker resolution to my problem,,
1939,35,2097,Super Saver Facility fixed deposit Product Support,10/7/2015 0:00,10/7/2015 0:00,Product Support,Net Banking,satisfied with the customer support ,,
2394,756,742,National Life Cancer Care life insurance Complaint,5/30/2017 0:00,5/31/2017 0:00,Complaint,Branch,Case can be closed. Service can be a notch higher,,
1968,37,2384,Super Saver Facility fixed deposit Enquiry,1/25/2016 0:00,1/25/2016 0:00,Enquiry,Branch,satisfied with the customer support ,,
2910,771,2103,National Home Loan home loan Product Support,5/28/2017 0:00,5/29/2017 0:00,Product Support,Branch,Case can be closed. Service can be a notch higher,,
1962,771,413,Foreign Education Loan educational loan Complaint,5/28/2017 0:00,5/29/2017 0:00,Complaint,Branch,Case can be closed. Service can be a notch higher,,
806,288,500,New Car Loan car loan Enquiry,5/26/2017 0:00,5/26/2017 0:00,Enquiry,Phone Banking,satisfied with the customer support ,,
1661,329,4465,Secure Personal Loan Personal Loan Enquiry,5/25/2017 0:00,5/25/2017 0:00,Enquiry,Phone Banking,satisfied with the customer support ,,
2299,487,4030,New Car Loan car loan Product Support,5/25/2017 0:00,5/25/2017 0:00,Product Support,Net Banking,satisfied with the customer support ,,
2143,714,874,Individual Personal Accident Plan health insurance Enquiry,5/24/2017 0:00,5/25/2017 0:00,Enquiry,Net Banking,satisfactory service. Service can be improved,,
2651,510,36,Private Car Insurance motor insurance Product Support,5/23/2017 0:00,5/23/2017 0:00,Product Support,Phone Banking,satisfied with the customer support ,,
2287,393,4088,Private Car Insurance motor insurance Complaint,5/23/2017 0:00,5/23/2017 0:00,Complaint,Net Banking,Satisfied. Offered some freebees,,
808,393,4088,Private Car Insurance motor insurance Product Support,5/23/2017 0:00,5/23/2017 0:00,Product Support,Net Banking,satisfied with the customer support ,,
987,951,4049,Ergo Home Insurance home insurance Product Support,5/20/2017 0:00,5/22/2017 0:00,Product Support,Branch,Interest Rates are high compared to other banks. Thinking of switching to another bank.,,
1696,59,2550,National Life Cancer Care life insurance Enquiry,5/20/2017 0:00,5/20/2017 0:00,Enquiry,Net Banking,satisfied with the customer support ,,
206,59,2550,National Life Cancer Care life insurance Product Support,5/20/2017 0:00,5/20/2017 0:00,Product Support,Phone Banking,satisfied with the customer support ,,
2789,527,3203,National Home Loan home loan Enquiry,5/20/2017 0:00,5/20/2017 0:00,Enquiry,Phone Banking,satisfied with the customer support ,,
949,597,4436,National Life Cancer Care life insurance Complaint,5/19/2017 0:00,5/19/2017 0:00,Complaint,Net Banking,committed to serving the customers,,
165,597,4436,National Life Cancer Care life insurance Enquiry,5/19/2017 0:00,5/19/2017 0:00,Enquiry,Branch,satisfied with the customer support ,,
1832,717,2178,SavingsMax Account savings account Complaint,5/17/2017 0:00,5/18/2017 0:00,Complaint,Phone Banking,satisfactory service. Service can be improved,,
2148,670,2517,National Home Loan home loan Complaint,5/16/2017 0:00,5/16/2017 0:00,Complaint,Branch,Happy with the service,,
1800,970,2430,New Car Loan car loan Complaint,5/15/2017 0:00,5/17/2017 0:00,Complaint,Branch,Horrible service. Bank least bothered about customer,,
1417,155,262,SavingsMax Account savings account Product Support,5/13/2017 0:00,5/13/2017 0:00,Product Support,Net Banking,satisfied with the customer support ,,
2947,124,1996,National Home Loan home loan Enquiry,5/12/2017 0:00,5/12/2017 0:00,Enquiry,Net Banking,satisfied with the customer support ,,
2785,934,3512,Foreign Education Loan educational loan Complaint,5/10/2017 0:00,5/12/2017 0:00,Complaint,Net Banking,Interest Rates are high compared to other banks. Thinking of switching to another bank.,,
459,52,4324,Regular Fixed Deposit fixed deposit Product Support,10/19/2016 0:00,10/19/2016 0:00,Product Support,Branch,satisfied with the customer support ,,
1176,513,1390,National Home Loan home loan Enquiry,5/8/2017 0:00,5/8/2017 0:00,Enquiry,Branch,satisfied with the customer support ,,
305,369,1739,SavingsMax Account savings account Product Support,5/7/2017 0:00,5/7/2017 0:00,Product Support,Phone Banking,satisfied with the customer support ,,
1175,369,3523,Secure Personal Loan Personal Loan Complaint,5/7/2017 0:00,5/7/2017 0:00,Complaint,Phone Banking,Satisfied. Offered some freebees,,
1486,369,4087,New Car Loan car loan Enquiry,5/7/2017 0:00,5/7/2017 0:00,Enquiry,Net Banking,satisfied with the customer support ,,
88,369,4087,New Car Loan car loan Product Support,5/7/2017 0:00,5/7/2017 0:00,Product Support,Net Banking,satisfied with the customer support ,,
2347,369,4469,Private Car Insurance motor insurance Complaint,5/7/2017 0:00,5/7/2017 0:00,Complaint,Net Banking,Satisfied. Offered some freebees,,
566,369,4469,Private Car Insurance motor insurance Product Support,5/7/2017 0:00,5/7/2017 0:00,Product Support,Phone Banking,satisfied with the customer support ,,
1889,36,2824,SavingsMax Account savings account Complaint,5/6/2017 0:00,5/6/2017 0:00,Complaint,Phone Banking,the complaint was addressed in timely manner to my satisfaction,,
1549,36,2824,SavingsMax Account savings account Product Support,5/6/2017 0:00,5/6/2017 0:00,Product Support,Net Banking,satisfied with the customer support ,,
1554,55,2106,Sweep In Facility fixed deposit Complaint,3/6/2014 0:00,3/6/2014 0:00,Complaint,Branch,Good customer experience. Reduced the interest rate to my expectation,,
2692,212,2497,Secure Personal Loan Personal Loan Complaint,5/4/2017 0:00,5/4/2017 0:00,Complaint,Net Banking,quick turnaround in addressing the complaint. Happy with the customer service,,
1154,723,2533,Individual Personal Accident Plan health insurance Complaint,5/4/2017 0:00,5/5/2017 0:00,Complaint,Phone Banking,satisfactory service. Service can be improved,,
230,435,4445,Foreign Education Loan educational loan Enquiry,5/4/2017 0:00,5/4/2017 0:00,Enquiry,Phone Banking,satisfied with the customer support ,,
2296,435,1706,SavingsMax Account savings account Product Support,5/4/2017 0:00,5/4/2017 0:00,Product Support,Net Banking,satisfied with the customer support ,,
2845,330,1075,National Life Cancer Care life insurance Complaint,5/1/2017 0:00,5/1/2017 0:00,Complaint,Net Banking,Satisfied. Offered some freebees,,
1613,330,1075,National Life Cancer Care life insurance Enquiry,5/1/2017 0:00,5/1/2017 0:00,Enquiry,Phone Banking,satisfied with the customer support ,,
1460,330,1075,National Life Cancer Care life insurance Product Support,5/1/2017 0:00,5/1/2017 0:00,Product Support,Phone Banking,satisfied with the customer support ,,
941,330,899,Ergo Home Insurance home insurance Product Support,5/1/2017 0:00,5/1/2017 0:00,Product Support,Phone Banking,satisfied with the customer support ,,
2908,330,1412,Secure Personal Loan Personal Loan Complaint,5/1/2017 0:00,5/1/2017 0:00,Complaint,Net Banking,Satisfied. Offered some freebees,,
265,983,4222,Individual Personal Accident Plan health insurance Product Support,4/30/2017 0:00,5/2/2017 0:00,Product Support,Net Banking,Horrible service. Bank least bothered about customer,,
1416,572,2051,Ergo Home Insurance home insurance Complaint,4/27/2017 0:00,4/27/2017 0:00,Complaint,Branch,committed to serving the customers,,
2174,459,4273,Private Car Insurance motor insurance Complaint,4/26/2017 0:00,4/26/2017 0:00,Complaint,Phone Banking,bank official addressed my complaints to my expectation,,
2736,971,2061,Individual Personal Accident Plan health insurance Product Support,4/25/2017 0:00,4/27/2017 0:00,Product Support,Branch,Horrible service. Bank least bothered about customer,,
2613,971,2061,Individual Personal Accident Plan health insurance Enquiry,4/25/2017 0:00,4/27/2017 0:00,Enquiry,Branch,Horrible service. Bank least bothered about customer,,
625,971,2061,Individual Personal Accident Plan health insurance Complaint,4/25/2017 0:00,4/27/2017 0:00,Complaint,Net Banking,Horrible service. Bank least bothered about customer,,
2037,971,4342,National Home Loan home loan Complaint,4/25/2017 0:00,4/27/2017 0:00,Complaint,Branch,Horrible service. Bank least bothered about customer,,
918,971,4342,National Home Loan home loan Product Support,4/25/2017 0:00,4/27/2017 0:00,Product Support,Branch,Horrible service. Bank least bothered about customer,,
234,971,3567,Secure Personal Loan Personal Loan Product Support,4/25/2017 0:00,4/27/2017 0:00,Product Support,Branch,Horrible service. Bank least bothered about customer,,
1296,971,1141,Private Car Insurance motor insurance Product Support,4/25/2017 0:00,4/27/2017 0:00,Product Support,Branch,Horrible service. Bank least bothered about customer,,
2060,483,4004,National Life Cancer Care life insurance Enquiry,4/25/2017 0:00,4/25/2017 0:00,Enquiry,Phone Banking,satisfied with the customer support ,,
2833,483,739,SavingsMax Account savings account Complaint,4/25/2017 0:00,4/25/2017 0:00,Complaint,Net Banking,Fantastic. my service charges waived for an entire year,,
968,483,739,SavingsMax Account savings account Product Support,4/25/2017 0:00,4/25/2017 0:00,Product Support,Phone Banking,satisfied with the customer support ,,
475,483,739,SavingsMax Account savings account Enquiry,4/25/2017 0:00,4/25/2017 0:00,Enquiry,Net Banking,satisfied with the customer support ,,
2499,483,1507,New Car Loan car loan Product Support,4/25/2017 0:00,4/25/2017 0:00,Product Support,Branch,satisfied with the customer support ,,
2049,483,503,Ergo Home Insurance home insurance Product Support,4/25/2017 0:00,4/25/2017 0:00,Product Support,Branch,satisfied with the customer support ,,
1985,236,1772,Foreign Education Loan educational loan Product Support,4/25/2017 0:00,4/25/2017 0:00,Product Support,Phone Banking,satisfied with the customer support ,,
1389,236,1772,Foreign Education Loan educational loan Complaint,4/25/2017 0:00,4/25/2017 0:00,Complaint,Branch,Issue resolved,,
2246,780,2795,SavingsMax Account savings account Complaint,4/24/2017 0:00,4/25/2017 0:00,Complaint,Phone Banking,Case can be closed. Service can be a notch higher,,
1160,780,2795,SavingsMax Account savings account Product Support,4/24/2017 0:00,4/25/2017 0:00,Product Support,Phone Banking,Case can be closed. Service can be a notch higher,,
226,780,2795,SavingsMax Account savings account Enquiry,4/24/2017 0:00,4/25/2017 0:00,Enquiry,Net Banking,Case can be closed. Service can be a notch higher,,
1141,530,28,Secure Personal Loan Personal Loan Complaint,4/22/2017 0:00,4/22/2017 0:00,Complaint,Net Banking,Fantastic. my service charges waived for an entire year,,
1135,817,945,SavingsMax Account savings account Product Support,4/21/2017 0:00,4/22/2017 0:00,Product Support,Net Banking,Average service. Need quicker resolution to my problem,,
2092,322,1550,National Life Cancer Care life insurance Product Support,4/21/2017 0:00,4/21/2017 0:00,Product Support,Net Banking,satisfied with the customer support ,,
556,322,1550,National Life Cancer Care life insurance Complaint,4/21/2017 0:00,4/21/2017 0:00,Complaint,Net Banking,Satisfied. Offered some freebees,,
2875,309,379,New Car Loan car loan Enquiry,4/20/2017 0:00,4/20/2017 0:00,Enquiry,Net Banking,satisfied with the customer support ,,
1805,492,3733,National Life Cancer Care life insurance Complaint,4/20/2017 0:00,4/20/2017 0:00,Complaint,Phone Banking,Fantastic. my service charges waived for an entire year,,
2344,492,2182,Foreign Education Loan educational loan Complaint,4/20/2017 0:00,4/20/2017 0:00,Complaint,Net Banking,Fantastic. my service charges waived for an entire year,,
993,492,2182,Foreign Education Loan educational loan Enquiry,4/20/2017 0:00,4/20/2017 0:00,Enquiry,Branch,satisfied with the customer support ,,
1527,478,3322,SavingsMax Account savings account Enquiry,4/19/2017 0:00,4/19/2017 0:00,Enquiry,Branch,satisfied with the customer support ,,
1617,698,360,Foreign Education Loan educational loan Enquiry,4/18/2017 0:00,4/18/2017 0:00,Enquiry,Branch,satisfied with the customer support ,,
2849,766,3103,National Home Loan home loan Product Support,4/18/2017 0:00,4/19/2017 0:00,Product Support,Phone Banking,Case can be closed. Service can be a notch higher,,
2126,280,2902,Individual Personal Accident Plan health insurance Complaint,4/17/2017 0:00,4/17/2017 0:00,Complaint,Phone Banking,Issue resolved,,
1660,280,2902,Individual Personal Accident Plan health insurance Product Support,4/17/2017 0:00,4/17/2017 0:00,Product Support,Net Banking,satisfied with the customer support ,,
2285,280,1713,SavingsMax Account savings account Complaint,4/17/2017 0:00,4/17/2017 0:00,Complaint,Phone Banking,Issue resolved,,
2223,701,2475,Private Car Insurance motor insurance Product Support,4/16/2017 0:00,4/17/2017 0:00,Product Support,Branch,satisfactory service. Service can be improved,,
52,70,2478,Super Saver Facility fixed deposit Complaint,8/19/2016 0:00,8/19/2016 0:00,Complaint,Net Banking,Good customer experience. Reduced the interest rate to my expectation,,
63,616,1107,Private Car Insurance motor insurance Product Support,4/14/2017 0:00,4/14/2017 0:00,Product Support,Branch,satisfied with the customer support ,,
1906,80,1478,Regular Fixed Deposit fixed deposit Complaint,2/5/2017 0:00,2/5/2017 0:00,Complaint,Net Banking,Good customer experience. Reduced the interest rate to my expectation,,
1635,80,1478,Regular Fixed Deposit fixed deposit Product Support,2/5/2017 0:00,2/5/2017 0:00,Product Support,Branch,satisfied with the customer support ,,
1676,920,2266,Individual Personal Accident Plan health insurance Product Support,4/14/2017 0:00,4/16/2017 0:00,Product Support,Phone Banking,Very disappointed. Very High service charges.,,
2088,85,3245,Regular Fixed Deposit fixed deposit Complaint,10/16/2016 0:00,10/16/2016 0:00,Complaint,Branch,Good customer experience. Reduced the interest rate to my expectation,,
2752,233,1983,Individual Personal Accident Plan health insurance Product Support,4/12/2017 0:00,4/12/2017 0:00,Product Support,Net Banking,satisfied with the customer support ,,
1407,732,2990,Secure Personal Loan Personal Loan Enquiry,4/11/2017 0:00,4/12/2017 0:00,Enquiry,Branch,satisfactory service. Service can be improved,,
2857,706,4739,SavingsMax Account savings account Complaint,4/10/2017 0:00,4/11/2017 0:00,Complaint,Net Banking,satisfactory service. Service can be improved,,
1932,706,4739,SavingsMax Account savings account Product Support,4/10/2017 0:00,4/11/2017 0:00,Product Support,Branch,satisfactory service. Service can be improved,,
140,706,4739,SavingsMax Account savings account Enquiry,4/10/2017 0:00,4/11/2017 0:00,Enquiry,Phone Banking,satisfactory service. Service can be improved,,
2407,86,3080,Super Saver Facility fixed deposit Complaint,11/19/2016 0:00,11/19/2016 0:00,Complaint,Net Banking,Good customer experience. Reduced the interest rate to my expectation,,
36,86,3080,Super Saver Facility fixed deposit Product Support,2/24/2016 0:00,2/24/2016 0:00,Product Support,Branch,satisfied with the customer support ,,
1054,87,4382,Sweep In Facility fixed deposit Complaint,2/17/2015 0:00,2/17/2015 0:00,Complaint,Net Banking,Good customer experience. Reduced the interest rate to my expectation,,
2130,36,1546,Private Car Insurance motor insurance Enquiry,4/8/2017 0:00,4/8/2017 0:00,Enquiry,Branch,satisfied with the customer support ,,
653,394,592,Ergo Home Insurance home insurance Product Support,4/7/2017 0:00,4/7/2017 0:00,Product Support,Phone Banking,satisfied with the customer support ,,
867,821,4836,SavingsMax Account savings account Complaint,4/7/2017 0:00,4/8/2017 0:00,Complaint,Branch,Average service. Need quicker resolution to my problem,,
1795,840,3985,New Car Loan car loan Enquiry,4/6/2017 0:00,4/7/2017 0:00,Enquiry,Net Banking,Average service. Need quicker resolution to my problem,,
232,385,600,Ergo Home Insurance home insurance Product Support,4/6/2017 0:00,4/6/2017 0:00,Product Support,Net Banking,satisfied with the customer support ,,
1669,986,611,Individual Personal Accident Plan health insurance Complaint,4/6/2017 0:00,4/8/2017 0:00,Complaint,Net Banking,Horrible service. Bank least bothered about customer,,
2164,594,737,Private Car Insurance motor insurance Complaint,4/4/2017 0:00,4/4/2017 0:00,Complaint,Net Banking,committed to serving the customers,,
1523,594,737,Private Car Insurance motor insurance Product Support,4/4/2017 0:00,4/4/2017 0:00,Product Support,Phone Banking,satisfied with the customer support ,,
2064,111,2742,National Life Cancer Care life insurance Product Support,4/4/2017 0:00,4/4/2017 0:00,Product Support,Branch,satisfied with the customer support ,,
532,111,2742,National Life Cancer Care life insurance Enquiry,4/4/2017 0:00,4/4/2017 0:00,Enquiry,Net Banking,satisfied with the customer support ,,
442,858,1540,SavingsMax Account current account Product Support,4/3/2017 0:00,4/4/2017 0:00,Product Support,Net Banking,Should have competitive interest rates compared to other bank,,
2860,254,49,Ergo Home Insurance home insurance Complaint,3/26/2017 0:00,3/26/2017 0:00,Complaint,Net Banking,Issue resolved,,
1547,936,2231,Foreign Education Loan educational loan Product Support,3/24/2017 0:00,3/26/2017 0:00,Product Support,Phone Banking,Interest Rates are high compared to other banks. Thinking of switching to another bank.,,
688,486,4826,Secure Personal Loan Personal Loan Complaint,3/23/2017 0:00,3/23/2017 0:00,Complaint,Net Banking,Fantastic. my service charges waived for an entire year,,
1888,486,2625,New Car Loan car loan Enquiry,3/23/2017 0:00,3/23/2017 0:00,Enquiry,Net Banking,satisfied with the customer support ,,
2915,486,833,Ergo Home Insurance home insurance Enquiry,3/23/2017 0:00,3/23/2017 0:00,Enquiry,Phone Banking,satisfied with the customer support ,,
542,486,833,Ergo Home Insurance home insurance Complaint,3/23/2017 0:00,3/23/2017 0:00,Complaint,Phone Banking,Fantastic. my service charges waived for an entire year,,
484,486,833,Ergo Home Insurance home insurance Product Support,3/23/2017 0:00,3/23/2017 0:00,Product Support,Net Banking,satisfied with the customer support ,,
783,785,3168,National Life Cancer Care life insurance Enquiry,3/23/2017 0:00,3/24/2017 0:00,Enquiry,Branch,Case can be closed. Service can be a notch higher,,
1367,662,1392,Ergo Home Insurance home insurance Complaint,3/21/2017 0:00,3/21/2017 0:00,Complaint,Phone Banking,Happy with the service,,
170,662,1392,Ergo Home Insurance home insurance Product Support,3/21/2017 0:00,3/21/2017 0:00,Product Support,Phone Banking,satisfied with the customer support ,,
474,662,3860,Private Car Insurance motor insurance Enquiry,3/21/2017 0:00,3/21/2017 0:00,Enquiry,Branch,satisfied with the customer support ,,
2980,662,1361,Ergo Home Insurance home insurance Complaint,3/21/2017 0:00,3/21/2017 0:00,Complaint,Net Banking,Happy with the service,,
1138,675,2675,National Home Loan home loan Complaint,3/20/2017 0:00,3/20/2017 0:00,Complaint,Net Banking,Happy with the service,,
1357,923,524,National Home Loan home loan Enquiry,3/19/2017 0:00,3/21/2017 0:00,Enquiry,Net Banking,Very disappointed. Very High service charges.,,
448,472,1238,National Life Cancer Care life insurance Enquiry,3/19/2017 0:00,3/19/2017 0:00,Enquiry,Net Banking,satisfied with the customer support ,,
2597,557,4274,Private Car Insurance motor insurance Product Support,3/16/2017 0:00,3/16/2017 0:00,Product Support,Phone Banking,satisfied with the customer support ,,
488,557,4274,Private Car Insurance motor insurance Complaint,3/16/2017 0:00,3/16/2017 0:00,Complaint,Phone Banking,committed to serving the customers,,
2977,471,4857,Foreign Education Loan educational loan Enquiry,3/15/2017 0:00,3/15/2017 0:00,Enquiry,Net Banking,satisfied with the customer support ,,
1829,522,4307,National Home Loan home loan Product Support,3/15/2017 0:00,3/15/2017 0:00,Product Support,Phone Banking,satisfied with the customer support ,,
2992,271,3054,National Home Loan home loan Complaint,3/12/2017 0:00,3/12/2017 0:00,Complaint,Net Banking,Issue resolved,,
963,224,4792,Foreign Education Loan educational loan Complaint,3/11/2017 0:00,3/11/2017 0:00,Complaint,Branch,quick turnaround in addressing the complaint. Happy with the customer service,,
143,380,4254,SavingsMax Account savings account Product Support,3/11/2017 0:00,3/11/2017 0:00,Product Support,Phone Banking,satisfied with the customer support ,,
1397,939,3264,Secure Personal Loan Personal Loan Enquiry,3/9/2017 0:00,3/11/2017 0:00,Enquiry,Phone Banking,Interest Rates are high compared to other banks. Thinking of switching to another bank.,,
721,368,1371,SavingsMax Account savings account Enquiry,3/7/2017 0:00,3/7/2017 0:00,Enquiry,Net Banking,satisfied with the customer support ,,
2241,263,4334,Private Car Insurance motor insurance Product Support,3/6/2017 0:00,3/6/2017 0:00,Product Support,Branch,satisfied with the customer support ,,
786,263,4334,Private Car Insurance motor insurance Complaint,3/6/2017 0:00,3/6/2017 0:00,Complaint,Branch,Issue resolved,,
824,417,1505,SavingsMax Account savings account Enquiry,3/5/2017 0:00,3/5/2017 0:00,Enquiry,Phone Banking,satisfied with the customer support ,,
1467,417,3050,Foreign Education Loan educational loan Product Support,3/5/2017 0:00,3/5/2017 0:00,Product Support,Branch,satisfied with the customer support ,,
1753,760,3715,National Life Cancer Care life insurance Enquiry,3/5/2017 0:00,3/6/2017 0:00,Enquiry,Net Banking,Case can be closed. Service can be a notch higher,,
1490,67,2779,Private Car Insurance motor insurance Complaint,3/4/2017 0:00,3/4/2017 0:00,Complaint,Phone Banking,Good customer experience. Reduced the interest rate to my expectation,,
