product_id,product_name,product_type,product_description,issue_date,valid_till_date,account_status,credit_card_limit,interest_rate,tenure,service_charges,customer_id,fd_principal_amount,loan_collateral_value,loan_amount
4032,SavingsMax Account,savings account,SavingsMax Account,4/23/2017,1/1/1999,open,,,,0,179,0,0,
465,Secure Personal Loan,Personal Loan,Secure Personal Loan,4/22/2017,1/1/1999,open,0,16,60,0,199,0,1100000,1000000
4864,SavingsMax Account,savings account,SavingsMax Account,4/22/2017,1/1/1999,open,,,,0,729,0,0,
362,National Life Cancer Care,life insurance,National Life Cancer Care,4/22/2017,1/1/1999,open,0,0,180,12000,118,0,0,0
1797,Private Car Insurance,motor insurance,Private Car Insurance,4/21/2017,1/1/1999,open,,,,0,49,0,0,
3545,Ergo Home Insurance,home insurance,Ergo Home Insurance,4/21/2017,1/1/1999,open,0,0,60,3000,351,0,0,0
432,New Car Loan,car loan,New Car Loan,4/21/2017,1/1/1999,open,0,9.25,60,0,351,0,750000,700000
4928,National Life Cancer Care,life insurance,National Life Cancer Care,4/21/2017,1/1/1999,open,0,0,180,12000,351,0,0,0
2358,National Life Cancer Care,life insurance,National Life Cancer Care,4/21/2017,1/1/1999,open,0,0,180,12000,351,0,0,0
3912,Foreign Education Loan,educational loan,Foreign Education Loan,4/21/2017,1/1/1999,open,0,10,120,0,912,0,750000,700000
4049,Ergo Home Insurance,home insurance,Ergo Home Insurance,4/20/2017,1/1/1999,open,0,0,60,3000,951,0,0,0
2333,SavingsMax Account,savings account,SavingsMax Account,4/20/2017,1/1/1999,open,,,,0,951,0,0,
4154,SavingsMax Account,savings account,SavingsMax Account,4/20/2017,1/1/1999,open,,,,0,583,0,0,
2550,National Life Cancer Care,life insurance,National Life Cancer Care,4/20/2017,1/1/1999,open,0,0,180,12000,59,0,0,0
3203,National Home Loan,home loan,National Home Loan,4/20/2017,1/1/1999,open,0,11,180,0,527,0,3500000,3000000
4436,National Life Cancer Care,life insurance,National Life Cancer Care,4/19/2017,1/1/1999,open,0,0,180,12000,597,0,0,0
1937,SavingsMax Account,savings account,SavingsMax Account,4/19/2017,1/1/1999,open,,,,0,597,0,0,
3442,Secure Personal Loan,Personal Loan,Secure Personal Loan,4/19/2017,1/1/1999,open,0,16,60,0,597,0,1100000,1000000
4506,National Life Cancer Care,life insurance,National Life Cancer Care,4/18/2017,1/1/1999,open,0,0,180,12000,148,0,0,0
1206,Regular Fixed Deposit,fixed deposit,Regular Fixed Deposit,4/22/2016,1/1/1999,open,0,8.5,12,0,51,0,0,
2178,SavingsMax Account,savings account,SavingsMax Account,4/17/2017,1/1/1999,open,,,,0,717,0,0,
4797,Private Car Insurance,motor insurance,Private Car Insurance,4/16/2017,1/1/1999,open,,,,0,502,0,0,
20,Ergo Home Insurance,home insurance,Ergo Home Insurance,4/16/2017,1/1/1999,open,0,0,60,3000,998,0,0,0
2517,National Home Loan,home loan,National Home Loan,4/16/2017,1/1/1999,open,0,11,180,0,670,0,3500000,3000000
4873,Ergo Home Insurance,home insurance,Ergo Home Insurance,4/15/2017,1/1/1999,open,0,0,60,3000,912,0,0,0
2430,New Car Loan,car loan,New Car Loan,4/15/2017,1/1/1999,open,0,9.25,60,0,970,0,750000,700000
262,SavingsMax Account,savings account,SavingsMax Account,4/13/2017,1/1/1999,open,,,,0,155,0,0,
3639,SavingsMax Account,savings account,SavingsMax Account,4/12/2017,1/1/1999,open,,,,0,815,0,0,
1996,National Home Loan,home loan,National Home Loan,4/12/2017,1/1/1999,open,0,11,180,0,124,0,3500000,3000000
4850,Private Car Insurance,motor insurance,Private Car Insurance,4/12/2017,1/1/1999,open,,,,0,364,0,0,
1995,Individual Personal Accident Plan,health insurance,Individual Personal Accident Plan,4/11/2017,1/1/1999,open,0,0,0,6000,223,0,0,0
1423,National Home Loan,home loan,National Home Loan,4/10/2017,1/1/1999,open,0,11,180,0,961,0,3500000,3000000
1724,Ergo Home Insurance,home insurance,Ergo Home Insurance,4/10/2017,1/1/1999,open,0,0,60,3000,7,0,0,0
1736,Private Car Insurance,motor insurance,Private Car Insurance,4/10/2017,1/1/1999,open,,,,0,158,0,0,
2986,National Life Cancer Care,life insurance,National Life Cancer Care,4/10/2017,1/1/1999,open,0,0,180,12000,460,0,0,0
3512,Foreign Education Loan,educational loan,Foreign Education Loan,4/10/2017,1/1/1999,open,0,10,120,0,934,0,750000,700000
1580,Ergo Home Insurance,home insurance,Ergo Home Insurance,4/10/2017,1/1/1999,open,0,0,60,3000,595,0,0,0
2722,Regular Fixed Deposit,fixed deposit,Regular Fixed Deposit,9/19/2016,1/1/1999,open,0,8.5,12,0,52,0,0,
3813,National Life Cancer Care,life insurance,National Life Cancer Care,4/9/2017,1/1/1999,open,0,0,180,12000,154,0,0,0
856,Apex Current Account,current account,Apex Current Account,4/9/2017,1/1/1999,open,,,,0,624,0,0,
4686,SavingsMax Account,savings account,SavingsMax Account,4/9/2017,1/1/1999,open,,,,0,91,0,0,
4324,Regular Fixed Deposit,fixed deposit,Regular Fixed Deposit,9/19/2016,1/1/1999,open,0,8.5,12,0,52,0,0,
1390,National Home Loan,home loan,National Home Loan,4/8/2017,1/1/1999,open,0,11,180,0,513,0,3500000,3000000
1090,National Life Cancer Care,life insurance,National Life Cancer Care,4/8/2017,1/1/1999,open,0,0,180,12000,858,0,0,0
722,Super Saver Facility,fixed deposit,Super Saver Facility,12/16/2015,1/1/1999,open,0,8.5,12,0,54,0,0,
1739,SavingsMax Account,savings account,SavingsMax Account,4/7/2017,1/1/1999,open,,,,0,369,0,0,
130,Private Car Insurance,motor insurance,Private Car Insurance,4/7/2017,1/1/1999,open,,,,0,369,0,0,
3523,Secure Personal Loan,Personal Loan,Secure Personal Loan,4/7/2017,1/1/1999,open,0,16,60,0,369,0,1100000,1000000
4477,Individual Personal Accident Plan,health insurance,Individual Personal Accident Plan,4/7/2017,1/1/1999,open,0,0,0,6000,369,0,0,0
4087,New Car Loan,car loan,New Car Loan,4/7/2017,1/1/1999,open,0,9.25,60,0,369,0,750000,700000
2467,National Home Loan,home loan,National Home Loan,4/7/2017,1/1/1999,open,0,11,180,0,369,0,3500000,3000000
4469,Private Car Insurance,motor insurance,Private Car Insurance,4/7/2017,1/1/1999,open,,,,0,369,0,0,
1645,Private Car Insurance,motor insurance,Private Car Insurance,4/7/2017,1/1/1999,open,,,,0,952,0,0,
4362,National Life Cancer Care,life insurance,National Life Cancer Care,4/7/2017,1/1/1999,open,0,0,180,12000,931,0,0,0
2824,SavingsMax Account,savings account,SavingsMax Account,4/6/2017,1/1/1999,open,,,,0,36,0,0,
1492,New Car Loan,car loan,New Car Loan,4/6/2017,1/1/1999,open,0,9.25,60,0,861,0,750000,700000
2106,Sweep In Facility,fixed deposit,Sweep In Facility,2/24/2014,1/1/1999,open,0,8.5,12,0,55,0,0,
2497,Secure Personal Loan,Personal Loan,Secure Personal Loan,4/4/2017,1/1/1999,open,0,16,60,0,212,0,1100000,1000000
2533,Individual Personal Accident Plan,health insurance,Individual Personal Accident Plan,4/4/2017,1/1/1999,open,0,0,0,6000,723,0,0,0
3005,Sweep In Facility,fixed deposit,Sweep In Facility,8/17/2014,1/1/1999,open,0,8.5,12,0,56,0,0,
52,Secure Personal Loan,Personal Loan,Secure Personal Loan,4/4/2017,1/1/1999,open,0,16,60,0,435,0,1100000,1000000
4017,National Home Loan,home loan,National Home Loan,4/4/2017,1/1/1999,open,0,11,180,0,435,0,3500000,3000000
759,Ultima Current Account,current account,Ultima Current Account,4/4/2017,1/1/1999,open,,,,0,435,0,0,
4445,Foreign Education Loan,educational loan,Foreign Education Loan,4/4/2017,1/1/1999,open,0,10,120,0,435,0,750000,700000
1706,SavingsMax Account,savings account,SavingsMax Account,4/4/2017,1/1/1999,open,,,,0,435,0,0,
2179,Secure Personal Loan,Personal Loan,Secure Personal Loan,4/2/2017,1/1/1999,open,0,16,60,0,482,0,1100000,1000000
3460,Secure Personal Loan,Personal Loan,Secure Personal Loan,4/2/2017,1/1/1999,open,0,16,60,0,589,0,1100000,1000000
3033,Individual Personal Accident Plan,health insurance,Individual Personal Accident Plan,4/1/2017,1/1/1999,open,0,0,0,6000,29,0,0,0
1075,National Life Cancer Care,life insurance,National Life Cancer Care,4/1/2017,1/1/1999,open,0,0,180,12000,330,0,0,0
899,Ergo Home Insurance,home insurance,Ergo Home Insurance,4/1/2017,1/1/1999,open,0,0,60,3000,330,0,0,0
1412,Secure Personal Loan,Personal Loan,Secure Personal Loan,4/1/2017,1/1/1999,open,0,16,60,0,330,0,1100000,1000000
4222,Individual Personal Accident Plan,health insurance,Individual Personal Accident Plan,3/31/2017,1/1/1999,open,0,0,0,6000,983,0,0,0
1932,SavingsMax Account,savings account,SavingsMax Account,3/30/2017,1/1/1999,open,,,,0,382,0,0,
3209,Ergo Home Insurance,home insurance,Ergo Home Insurance,3/28/2017,1/1/1999,open,0,0,60,3000,386,0,0,0
2051,Ergo Home Insurance,home insurance,Ergo Home Insurance,3/27/2017,1/1/1999,open,0,0,60,3000,572,0,0,0
3273,Private Car Insurance,motor insurance,Private Car Insurance,3/26/2017,1/1/1999,open,,,,0,459,0,0,
3403,National Life Cancer Care,life insurance,National Life Cancer Care,3/26/2017,1/1/1999,open,0,0,180,12000,459,0,0,0
931,National Life Cancer Care,life insurance,National Life Cancer Care,3/26/2017,1/1/1999,open,0,0,180,12000,459,0,0,0
4273,Private Car Insurance,motor insurance,Private Car Insurance,3/26/2017,1/1/1999,open,,,,0,459,0,0,
484,Ergo Home Insurance,home insurance,Ergo Home Insurance,3/26/2017,1/1/1999,open,0,0,60,3000,459,0,0,0
2279,Super Saver Facility,fixed deposit,Super Saver Facility,1/26/2015,1/1/1999,open,0,8.5,12,0,58,0,0,
3595,National Home Loan,home loan,National Home Loan,3/26/2017,1/1/1999,open,0,11,180,0,763,0,3500000,3000000
526,National Life Cancer Care,life insurance,National Life Cancer Care,3/26/2017,1/1/1999,open,0,0,180,12000,763,0,0,0
1733,National Life Cancer Care,life insurance,National Life Cancer Care,3/26/2017,1/1/1999,open,0,0,180,12000,763,0,0,0
2204,Secure Personal Loan,Personal Loan,Secure Personal Loan,3/26/2017,1/1/1999,open,0,16,60,0,332,0,1100000,1000000
2061,Individual Personal Accident Plan,health insurance,Individual Personal Accident Plan,3/25/2017,1/1/1999,open,0,0,0,6000,971,0,0,0
4342,National Home Loan,home loan,National Home Loan,3/25/2017,1/1/1999,open,0,11,180,0,971,0,3500000,3000000
572,Private Car Insurance,motor insurance,Private Car Insurance,3/25/2017,1/1/1999,open,,,,0,971,0,0,
3567,Secure Personal Loan,Personal Loan,Secure Personal Loan,3/25/2017,1/1/1999,open,0,16,60,0,971,0,1100000,1000000
3301,Private Car Insurance,motor insurance,Private Car Insurance,3/25/2017,1/1/1999,open,,,,0,971,0,0,
1141,Private Car Insurance,motor insurance,Private Car Insurance,3/25/2017,1/1/1999,open,,,,0,971,0,0,
2991,Regular Fixed Deposit,fixed deposit,Regular Fixed Deposit,4/7/2016,1/1/1999,open,0,8.5,12,0,66,0,0,
2945,SavingsMax Account,savings account,SavingsMax Account,3/25/2017,1/1/1999,open,,,,0,482,0,0,
4004,National Life Cancer Care,life insurance,National Life Cancer Care,3/25/2017,1/1/1999,open,0,0,180,12000,483,0,0,0
739,SavingsMax Account,savings account,SavingsMax Account,3/25/2017,1/1/1999,open,,,,0,483,0,0,
1507,New Car Loan,car loan,New Car Loan,3/25/2017,1/1/1999,open,0,9.25,60,0,483,0,750000,700000
4016,New Car Loan,car loan,New Car Loan,3/25/2017,1/1/1999,open,0,9.25,60,0,483,0,750000,700000
503,Ergo Home Insurance,home insurance,Ergo Home Insurance,3/25/2017,1/1/1999,open,0,0,60,3000,483,0,0,0
1072,Private Car Insurance,motor insurance,Private Car Insurance,3/25/2017,1/1/1999,open,,,,0,686,0,0,
1464,Private Car Insurance,motor insurance,Private Car Insurance,3/25/2017,1/1/1999,open,,,,0,236,0,0,
3696,National Life Cancer Care,life insurance,National Life Cancer Care,3/25/2017,1/1/1999,open,0,0,180,12000,236,0,0,0
1772,Foreign Education Loan,educational loan,Foreign Education Loan,3/25/2017,1/1/1999,open,0,10,120,0,236,0,750000,700000
1764,Individual Personal Accident Plan,health insurance,Individual Personal Accident Plan,3/24/2017,1/1/1999,open,0,0,0,6000,988,0,0,0
2795,SavingsMax Account,savings account,SavingsMax Account,3/24/2017,1/1/1999,closed,,,,0,780,0,0,
2126,National Life Cancer Care,life insurance,National Life Cancer Care,3/24/2017,1/1/1999,open,0,0,180,12000,563,0,0,0
752,Private Car Insurance,motor insurance,Private Car Insurance,3/24/2017,1/1/1999,open,,,,0,198,0,0,
1711,SavingsMax Account,savings account,SavingsMax Account,3/24/2017,1/1/1999,open,,,,0,198,0,0,
28,Secure Personal Loan,Personal Loan,Secure Personal Loan,3/22/2017,1/1/1999,open,0,16,60,0,530,0,1100000,1000000
945,SavingsMax Account,savings account,SavingsMax Account,3/21/2017,1/1/1999,open,,,,0,817,0,0,
1550,National Life Cancer Care,life insurance,National Life Cancer Care,3/21/2017,1/1/1999,open,0,0,180,12000,322,0,0,0
379,New Car Loan,car loan,New Car Loan,3/20/2017,1/1/1999,open,0,9.25,60,0,309,0,750000,700000
1385,Individual Personal Accident Plan,health insurance,Individual Personal Accident Plan,3/20/2017,1/1/1999,open,0,0,0,6000,301,0,0,0
2086,Private Car Insurance,motor insurance,Private Car Insurance,3/20/2017,1/1/1999,open,,,,0,510,0,0,
3733,National Life Cancer Care,life insurance,National Life Cancer Care,3/20/2017,1/1/1999,open,0,0,180,12000,492,0,0,0
4070,National Life Cancer Care,life insurance,National Life Cancer Care,3/20/2017,1/1/1999,open,0,0,180,12000,492,0,0,0
